Country_Region,date,confirmed,daily
US,2022-02-01,75476141,325806
US,2022-02-02,75806200,330059
US,2022-02-03,76081589,275389
US,2022-02-04,76437488,355899
US,2022-02-05,76523900,86412
US,2022-02-06,76607354,83454
US,2022-02-07,76954614,347260
US,2022-02-08,77169229,214615
US,2022-02-09,77357854,188625
US,2022-02-10,77529578,171724
US,2022-02-11,77739268,209690
US,2022-02-12,77791122,51854
US,2022-02-13,77849426,58304
US,2022-02-14,78019970,170544
US,2022-02-15,78131292,111322
US,2022-02-16,78246247,114955
US,2022-02-17,78348149,101902
US,2022-02-18,78493452,145303
US,2022-02-19,78524849,31397
US,2022-02-20,78547845,22996
US,2022-02-21,78630942,83097
US,2022-02-22,78720460,89518
US,2022-02-23,78805698,85238
US,2022-02-24,78872854,67156
US,2022-02-25,78947299,74445
US,2022-02-26,78994707,47408
US,2022-02-27,79012925,18218
US,2022-02-28,79111825,98900
